epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,91.2753,1.29342,1.18626,1.06282,0.80083,0.41979,0.52718,0.32793,1.2289,1.46585,1.08968,9.208e-05,9.208e-05,9.208e-05
6,108.476,1.24536,1.10961,1.04289,0.62978,0.55078,0.60049,0.37286,1.15562,1.11903,1.06513,9.01e-05,9.01e-05,9.01e-05
7,125.88,1.26121,1.05251,1.0342,0.63305,0.61884,0.65791,0.41185,1.12274,0.92451,1.0611,8.812e-05,8.812e-05,8.812e-05
8,144.127,1.22313,0.98592,1.03401,0.77567,0.65145,0.70064,0.41958,1.15215,0.8934,1.05141,8.614e-05,8.614e-05,8.614e-05
9,160.953,1.22915,0.96329,1.03344,0.77764,0.66851,0.73728,0.4578,1.11874,0.84367,1.05886,8.416e-05,8.416e-05,8.416e-05
10,178.243,1.17715,0.8944,1.01253,0.84416,0.64021,0.75626,0.464,1.10744,0.8368,1.02,8.218e-05,8.218e-05,8.218e-05
11,196.115,1.15016,0.88041,1.00691,0.86169,0.66233,0.77466,0.49419,1.05671,0.7782,1.00743,8.02e-05,8.02e-05,8.02e-05
12,213.881,1.16646,0.87537,1.01348,0.88885,0.65429,0.77299,0.48215,1.07413,0.77712,1.00885,7.822e-05,7.822e-05,7.822e-05
13,232.517,1.15951,0.84618,1.00629,0.84976,0.69588,0.78052,0.49116,1.06919,0.75184,1.00297,7.624e-05,7.624e-05,7.624e-05
14,250.442,1.13038,0.80504,0.99617,0.88086,0.67969,0.79131,0.49745,1.07002,0.72149,0.99045,7.426e-05,7.426e-05,7.426e-05
15,267.337,1.12947,0.79331,0.98938,0.83666,0.72319,0.80074,0.50951,1.06246,0.6968,0.99112,7.228e-05,7.228e-05,7.228e-05
16,285.695,1.12819,0.79533,0.99254,0.83751,0.70778,0.79562,0.5104,1.03819,0.71543,0.97702,7.03e-05,7.03e-05,7.03e-05
17,303.058,1.11061,0.77367,0.99134,0.86144,0.71427,0.80156,0.50831,1.07266,0.68661,0.99687,6.832e-05,6.832e-05,6.832e-05
18,320.53,1.1343,0.7692,0.97745,0.82095,0.735,0.80262,0.50879,1.05199,0.6819,0.99573,6.634e-05,6.634e-05,6.634e-05
19,338.386,1.11762,0.76229,0.97857,0.85188,0.73651,0.8081,0.5087,1.05744,0.66875,0.98575,6.436e-05,6.436e-05,6.436e-05
20,356.32,1.12144,0.76401,0.986,0.86083,0.71696,0.80917,0.51826,1.0638,0.66247,0.99046,6.238e-05,6.238e-05,6.238e-05
21,373.154,1.11946,0.7473,0.98631,0.85608,0.73101,0.82141,0.51833,1.04621,0.66575,0.98021,6.04e-05,6.04e-05,6.04e-05
22,391.469,1.09881,0.73365,0.98279,0.86006,0.72173,0.81743,0.52121,1.03432,0.64717,0.98,5.842e-05,5.842e-05,5.842e-05
23,409.965,1.1024,0.75181,0.98195,0.82384,0.75836,0.81806,0.52446,1.04582,0.65524,0.97722,5.644e-05,5.644e-05,5.644e-05
24,427.733,1.09287,0.72413,0.96709,0.88633,0.72558,0.82104,0.52172,1.03784,0.64448,0.97201,5.446e-05,5.446e-05,5.446e-05
25,445.329,1.07251,0.71217,0.97017,0.88029,0.71169,0.8207,0.52063,1.03771,0.64043,0.97305,5.248e-05,5.248e-05,5.248e-05
26,462.423,1.07013,0.70405,0.96849,0.88759,0.73449,0.82406,0.5312,1.04859,0.63499,0.98262,5.05e-05,5.05e-05,5.05e-05
27,480.858,1.07307,0.70353,0.97581,0.88791,0.73613,0.82716,0.52732,1.04391,0.63732,0.97183,4.852e-05,4.852e-05,4.852e-05
